# Слова, которым русский Викисловарь забыл проставить помету неологизма/сленга.
# Досваиваем вручную — категория проходит через ту же проверку MODERN, что и родные
# пометы kaikki, поэтому слово попадает в базовую лексику наравне с хайп/краш/вайб.
# Формат: слово<TAB>категория (годятся: Неологизмы, Сленговые, Жаргонизмы, Интернет, Молодёжные).
# Действует только на добавляемые из вики слова (не переопределяет частоту слов базы Козиева).
лайк	Сленговые выражения
скетчбук	Неологизмы
флекс	Молодёжные выражения
